user_id,x,y,cluster_id
a5c1cc164391,8.672725,8.592671,2
a5d221da4a61,6.2973785,8.627585,0
a6249c3b6b96,7.4769692,7.583166,2
a6569a9c9d2e,6.859706,9.706931,0
a6642232899b,7.069986,9.073396,0
a6a51804742e,10.085176,10.255938,3
a741d3529eec,8.88289,9.444775,2
a88b0cc13301,9.439175,11.991166,3
a8b6c91e103d,7.1160007,9.330778,0
a8bb402a432a,8.388563,10.10385,0
a8fd097f45d7,4.994477,8.755362,0
a9082d58a6cb,6.8572125,6.4732895,2
a99da951150b,10.300517,9.690027,1
a9cd5c5c51c2,10.186159,8.865896,3
aa3c30618eac,8.375014,7.686691,2
aa3ef1ca5118,9.935158,9.990108,1
aa4c1039726b,10.955132,9.498674,1
aa5cfb011785,7.831,10.460705,0
aae2ac12b8a1,8.824412,9.423243,3
aafc94db1e25,7.338746,8.51068,0
ab8260e04552,9.121418,9.382574,3
abc4a73d789d,10.356422,10.7615385,1
abfde777018e,9.286361,11.549169,3
ac776a91e1b9,7.7590036,9.677536,0
aca214bbd428,10.390839,10.270314,3
acb3b8186493,5.6921043,8.761078,0
acf5c6560459,9.022227,12.6000805,3
ad0d0436a635,6.057535,6.9612637,2
ad2009457cac,7.835961,10.330795,3
ad94b6ca4670,4.835121,7.871407,0
adc62f73647f,9.982241,11.361787,3
adcc6e0b89df,7.194728,10.040906,0
ae274c7b9001,7.868293,9.027696,0
ae3786c10d54,9.520771,10.72814,1
aee16c067335,11.265613,9.82602,1
af0e5c149be0,7.6785674,8.974127,0
af2bff13e52d,7.359875,7.505714,2
af3bc59a1828,9.104253,10.895245,3
afd7d41bb0db,6.709253,8.222876,2
afe7c6a18d07,6.824494,9.875921,0
b094ff31751a,7.4298325,7.2105174,2
b0e5890f08d5,8.49819,9.65719,0
b141a6d1398e,7.743145,8.524841,3
b1c6ff87f7cd,10.424735,11.052198,3
b214fc588e5a,9.452532,11.246626,3
b2273e7bc4a0,11.664853,10.4474535,1
b25d4c10e8d8,5.956506,6.9418325,2
b2a81bc4bdcf,10.750439,9.7019,3
b2b053c989b4,6.2992263,9.680854,0
b2e0b64be27c,6.80048,7.0687113,2
b307cd1e0085,8.009809,7.6441708,2
b3c0e6b6e9a1,11.901687,9.524576,1
b3c878da29b3,8.549958,11.0732975,3
b411ca13f4a1,10.546065,11.005166,1
b4ee5ceb484c,9.133793,9.141647,2
b5f02b72f3e0,10.00995,11.970695,3
b6447f6aca25,8.412875,9.176521,3
b6711f708f82,9.508327,10.144268,0
b6aec3dd7f39,10.326885,9.805833,3
b71b48b68419,8.58832,10.793404,0
b742052b3783,9.925846,9.306728,3
b7d2163f0f3d,6.264994,10.566956,0
b810be78aa76,9.492327,11.5033865,3
b8f4fe31551a,8.551518,7.965947,2
b8f629c969bb,8.89215,10.6001425,3
b94a953eb128,9.517942,11.869562,3
b9f74543e0a3,11.454044,10.428179,1
ba65623de66c,6.736887,8.114022,2
bae2bd10c40f,10.098722,10.097661,3
bb33b846c2c5,9.522408,10.917041,3
bb994c5bd396,8.919764,10.303437,3
bc1dee482f04,5.616232,9.775705,0
bc23c504be66,12.414746,9.779641,1
bcb32a25466f,9.370757,12.682945,2
bd3834c92d2b,10.524804,11.072335,3
bd72935f5518,10.189819,8.78516,3
bdc0d2b7501c,9.485657,7.421604,3
bdc7e2e1dce1,7.741977,9.450342,0
be1030057619,6.9995646,7.424007,2
be2290c9b620,6.041155,8.353378,0
bea69498fbd0,4.659469,8.310487,0
bebf0fad32f7,7.2265196,8.967752,0
bef4069fd2da,6.1647625,9.286471,0
bef69be61162,11.61281,9.714657,1
befd38dd27f0,10.60465,11.113057,3
bf11ef5edebb,9.748462,7.7072854,3
bf22bd88e84f,6.8508244,6.500359,2
c07a41679f4b,7.316495,9.801999,0
c0c65ce10f8a,5.782062,7.9076786,2
c0ebc8b6e977,6.968197,7.2316475,2
c102a05bc7bd,6.9293485,10.721413,0
c1c4a8254e3e,12.122614,9.825268,1
c1d4b4c60b81,5.9940057,8.433984,1
c24b23e10ab0,9.138667,9.625775,3
c30ddc5d3f63,10.47098,10.597032,1
c32ff785b9e9,8.003641,8.331073,2
c336a1971655,5.175437,7.5391936,2
c4008a395ed9,9.502999,11.639482,3
c4b3d829b70c,9.127522,12.189262,3
