user_id,instrument_version,gender_clean,age_num,age_flag,city_canon,department,nationality_canon,away_duration_canon,away_duration_order,city_duration_canon,city_duration_order,n_questions,minors,destination_country,language,registration_status,attempts,is_returning,safety_alert,escalation_status,age_range,age_range_order,session_minutes,n_msgs_user,has_text,first_seen,registered_at,is_repeat_asker,intends_to_stay,cluster_id,subcluster_id,subcluster_name
0af1b20e629c,v1,Woman,42.0,ok,Bogotá,Bogotá,Venezuela,< 1 month,0.0,< 1 month,0.0,0.0,No,Colombia,Spanish,Completed,,,,,35-44,3,,14,True,2026-04-29 00:36:46.030,2026-04-29 00:36:46.030,False,True,4,41,Food and shelter from organisations
0b00b8d61113,v1,Man,39.0,ok,Medellín,Antioquia,Venezuela,5+ years,4.0,1+ year,4.0,0.0,Yes,United States,Spanish,Completed,,,,,35-44,3,,1,True,2026-07-08 17:13:24.131,2026-07-08 17:13:24.131,False,False,3,30,Visas and travel abroad
0b28baceb4e4,v1,Woman,33.0,ok,Cúcuta,Norte de Santander,Venezuela,5+ years,4.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,1,True,2026-07-23 15:00:53.371,2026-07-23 15:00:53.371,False,True,0,0,Starting a business
0b98d3009cee,v1,Woman,36.0,ok,Bogotá,Bogotá,Venezuela,1–3 months,1.0,4–6 months,2.0,10.0,No,Colombia,Spanish,Completed,1.0,,[2026-07-24 14:10] El usuario ha indicado que está deprimido.,🔴 Urgent,35-44,3,121.60101666666667,90,True,2026-04-29 20:09:39.960,2026-04-29 20:09:39.960,True,True,4,40,Health access and registration
0bb70b354083,v1,Woman,37.0,ok,Bogotá,Bogotá,Venezuela,5+ years,4.0,1+ year,4.0,0.0,No,Colombia,Spanish,Completed,,,,,35-44,3,,0,False,,2026-07-08 17:30:04.234,False,True,-1,-10,No conversation text
0bc4e4d3140a,v2,,,ok,Other,,Unknown,Did not respond,-1.0,Did not respond,-1.0,,,,Not specified,Abandoned,1.0,,,,Not specified,6,,0,False,,2026-07-24 16:23:20.443,False,True,-1,-10,No conversation text
0bd2b552813a,v1,Man,59.0,ok,Soacha,Cundinamarca,Venezuela,1–5 years,3.0,1+ year,4.0,4.0,No,Colombia,Spanish,Completed,,,,,55+,5,,4,True,2026-05-25 22:15:45.224,2026-05-25 22:15:45.224,True,True,1,10,Biometrics and minors' documents
0bd6a1517cd4,v1,Woman,32.0,ok,Barranquilla,Atlántico,Venezuela,1–5 years,3.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,1,True,2026-06-13 17:20:02.308,2026-06-13 17:20:02.308,False,True,3,30,Visas and travel abroad
0bdeeab02ee1,v2,Woman,34.0,ok,Bogotá,Bogotá,Venezuela,Did not respond,-1.0,1+ year,4.0,,Yes,,Spanish,Completed,1.0,,,,25-34,2,7.070866666666666,2,True,2026-07-27 15:55:55.273,2026-07-27 15:55:55.273,False,True,1,10,Biometrics and minors' documents
0be817c3db2e,v1,Man,24.0,ok,Barranquilla,Atlántico,Venezuela,1–5 years,3.0,1+ year,4.0,0.0,No,United States,Spanish,Completed,,,,,18-24,1,,1,True,2026-06-17 18:42:03.678,2026-06-17 18:42:03.678,False,False,5,50,Services and integration
0bfd5269e6c5,v1,Woman,35.0,ok,Barranquilla,Atlántico,Venezuela,5+ years,4.0,1+ year,4.0,2.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,4,True,2026-07-09 02:17:27.616,2026-07-09 02:17:27.616,False,True,0,0,Starting a business
0c06a3ae4410,v1,Other or prefer not to say,35.0,ok,Cúcuta,Norte de Santander,Venezuela,3–12 months,2.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,0,False,,2026-07-10 15:37:33.214,False,True,-1,-10,No conversation text
0c2e8dcba2eb,v1,Woman,43.0,ok,Medellín,Antioquia,Venezuela,3–12 months,2.0,1+ year,4.0,1.0,No,Colombia,Spanish,Completed,,,,,35-44,3,,5,True,2026-05-07 14:20:21.944,2026-05-07 14:20:21.944,False,True,3,30,Visas and travel abroad
0c775d73f6b8,v1,Woman,55.0,ok,Medellín,Antioquia,Venezuela,1–5 years,3.0,1+ year,4.0,0.0,No,Colombia,Spanish,Completed,,,,,55+,5,,2,True,2026-06-04 13:26:08.501,2026-06-04 13:26:08.501,False,True,2,21,Regularising status abroad
0c9a19b4e12e,v1,Man,50.0,ok,Medellín,Antioquia,Venezuela,3–12 months,2.0,1+ year,4.0,2.0,Yes,Colombia,Spanish,Completed,,,,,45-54,4,,3,True,2026-07-08 18:55:39.814,2026-07-08 18:55:39.814,False,True,2,21,Regularising status abroad
0cd045787ad8,v1,Woman,22.0,ok,Other,,Venezuela,1–5 years,3.0,1+ year,4.0,2.0,Yes,Colombia,Spanish,Completed,,,,,18-24,1,,2,True,2026-05-25 20:02:47.947,2026-05-25 20:02:47.947,False,True,2,21,Regularising status abroad
0d1a2ab1cda3,v1,Man,30.0,ok,Medellín,Antioquia,Ecuador,1–3 months,1.0,4–6 months,2.0,2.0,Yes,Colombia,Spanish,Completed,,,,,25-34,2,,7,True,2026-05-07 12:54:29.529,2026-05-07 12:54:29.529,False,True,2,20,Family nationality options
0d3864ce7985,v1,Woman,37.0,ok,Medellín,Antioquia,Venezuela,1–5 years,3.0,Did not respond,-1.0,1.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,5,True,2026-05-28 23:32:53.591,2026-05-28 23:32:53.591,False,True,1,10,Biometrics and minors' documents
0d396bbbe637,v2,Woman,40.0,ok,Bogotá,Bogotá,Venezuela,Did not respond,-1.0,7–12 months,3.0,,Yes,,Spanish,Completed,1.0,,,,35-44,3,8.1855,5,True,2026-07-25 13:30:57.237,2026-07-25 13:30:57.237,False,True,2,20,Family nationality options
0d4c00f44bf5,v1,Woman,39.0,ok,Medellín,Antioquia,Venezuela,3–12 months,2.0,7–12 months,3.0,2.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,2,True,2026-05-28 21:29:13.604,2026-05-28 21:29:13.604,False,True,1,10,Biometrics and minors' documents
0d79522d75ab,v1,Woman,47.0,ok,Bogotá,Bogotá,Venezuela,5+ years,4.0,1+ year,4.0,3.0,Yes,Colombia,Spanish,Completed,,,,,45-54,4,,8,True,2026-05-14 16:37:00.782,2026-05-14 16:37:00.782,False,True,4,40,Health access and registration
0d9f65e2be63,v1,Woman,37.0,ok,Cúcuta,Norte de Santander,Venezuela,1–5 years,3.0,1+ year,4.0,0.0,Yes,Colombia,Spanish,Completed,,,,,35-44,3,,0,False,,2026-07-14 21:33:18.335,False,True,-1,-10,No conversation text
