week,cluster_id,user_id,n
2026-06-22,1,54f981c3f69d,6
2026-06-22,1,56e476735a0f,3
2026-06-22,1,70e576a65f54,1
2026-06-22,1,76c65e1b6c3a,2
2026-06-22,1,7a6ddaad47bb,2
2026-06-22,1,822956e2ebde,2
2026-06-22,1,88798bf22b1d,2
2026-06-22,1,9de723d55df3,3
2026-06-22,1,a02ba6b93372,4
2026-06-22,1,aa3ef1ca5118,4
2026-06-22,1,b2273e7bc4a0,1
2026-06-22,1,e0938d4ee792,1
2026-06-22,1,e4bb3d69fa67,6
2026-06-22,1,eba15300ac71,1
2026-06-22,2,025f8fa9b2ff,3
2026-06-22,2,075f884db357,7
2026-06-22,2,0e62967fd27d,3
2026-06-22,2,22aede07eb2b,4
2026-06-22,2,313570b55d25,11
2026-06-22,2,46da40226356,3
2026-06-22,2,54987b876f2a,2
2026-06-22,2,5e4e11b7a1b0,24
2026-06-22,2,883becdeb2ac,2
2026-06-22,2,8b1e864a8753,3
2026-06-22,2,a12387bc1be3,3
2026-06-22,2,c4008a395ed9,4
2026-06-22,2,c5a3d211e7ae,3
2026-06-22,2,c91427640882,4
2026-06-22,2,cb52036d2ba0,3
2026-06-22,2,d751422bce52,6
2026-06-22,2,da142d4a5117,1
2026-06-22,2,f09b02668c99,1
2026-06-22,2,f0dbcdf1f67e,2
2026-06-22,2,fc5afa9539ce,6
2026-06-22,3,00b7b18ae81a,1
2026-06-22,3,2040ec3fddb2,2
2026-06-22,3,33ccadbfd77c,1
2026-06-22,3,4c2c2ccab7ef,2
2026-06-22,3,e0631c168fc6,3
2026-06-22,3,fa43dffe7a35,1
2026-06-22,4,026d46d84f36,2
2026-06-22,4,3087b37015be,7
2026-06-22,4,3b6613f603ac,6
2026-06-22,4,460d24f18102,2
2026-06-22,4,4e549487225a,1
2026-06-22,4,4f524af45e30,13
2026-06-22,4,691f9dbcafab,2
2026-06-22,4,6c99e1a0bd00,17
2026-06-22,4,7a7dab29bc17,2
2026-06-22,4,875ddd21c83a,6
2026-06-22,4,991321e4e058,1
2026-06-22,4,a59fcec78cc4,1
2026-06-22,4,a8b6c91e103d,17
2026-06-22,4,af0e5c149be0,3
2026-06-22,4,ba65623de66c,3
2026-06-22,4,c102a05bc7bd,3
2026-06-22,4,cd5c01dd37cb,3
2026-06-22,5,44c34c6efe6f,2
2026-06-22,5,52c3b55e29a6,2
2026-06-22,5,5fceb0b65f8e,2
2026-06-22,5,6d7f82ed82f8,2
2026-06-22,5,d0d71c3f7dc1,1
2026-06-22,5,d1907c132530,1
2026-06-22,5,ea632a43ed21,2
2026-06-29,1,20338a2364a6,2
2026-06-29,1,7d42365ec542,5
2026-06-29,1,930b60a9ec31,3
2026-06-29,1,cd8f0a22aab9,6
2026-06-29,1,cdf6830413ff,2
2026-06-29,1,efa2a0117317,8
2026-06-29,1,f7a00d1f924f,1
2026-06-29,2,35e3c97de485,3
2026-06-29,2,5e4e11b7a1b0,6
2026-06-29,2,7b6725641439,5
2026-06-29,2,abfde777018e,4
2026-06-29,2,d4f5ff676133,2
2026-06-29,3,0e9667c5d4ea,1
2026-06-29,3,21996eb7014b,1
2026-06-29,3,2bcfaa3df52b,3
2026-06-29,3,d1cdd2427eda,4
2026-06-29,4,07a493b2ddeb,12
2026-06-29,4,30d8ffd038d6,3
