user_id,instrument_version,stage_order,stage
01e874a94ef6,v1,0,registration started
01e874a94ef6,v1,1,registration completed
8adfd0f355e9,v1,0,registration started
8adfd0f355e9,v1,1,registration completed
faaca385eab7,v1,0,registration started
faaca385eab7,v1,1,registration completed
c1d4b4c60b81,v1,0,registration started
c1d4b4c60b81,v1,1,registration completed
e1f13dfde3bc,v1,0,registration started
e1f13dfde3bc,v1,1,registration completed
6cf9e8114e66,v1,0,registration started
6cf9e8114e66,v1,1,registration completed
a1115850bcb8,v1,0,registration started
a1115850bcb8,v1,1,registration completed
af73974dfb5f,v1,0,registration started
af73974dfb5f,v1,1,registration completed
877f45c963ca,v1,0,registration started
877f45c963ca,v1,1,registration completed
10bbd378898e,v1,0,registration started
10bbd378898e,v1,1,registration completed
7d7d7dd617bf,v1,0,registration started
7d7d7dd617bf,v1,1,registration completed
58f58e00440b,v1,0,registration started
58f58e00440b,v1,1,registration completed
0728fbb71e81,v1,0,registration started
0728fbb71e81,v1,1,registration completed
2ef4b05fa3e4,v1,0,registration started
2ef4b05fa3e4,v1,1,registration completed
bb33b846c2c5,v1,0,registration started
bb33b846c2c5,v1,1,registration completed
5f7ccd4c3ba5,v1,0,registration started
5f7ccd4c3ba5,v1,1,registration completed
0a5b92f117c1,v1,0,registration started
0a5b92f117c1,v1,1,registration completed
cc44be011fc8,v1,0,registration started
cc44be011fc8,v1,1,registration completed
382c0027e143,v1,0,registration started
382c0027e143,v1,1,registration completed
221fa9dcfc72,v1,0,registration started
221fa9dcfc72,v1,1,registration completed
02a905d8ae15,v1,0,registration started
02a905d8ae15,v1,1,registration completed
963a564234a7,v1,0,registration started
963a564234a7,v1,1,registration completed
46f5acd38250,v1,0,registration started
46f5acd38250,v1,1,registration completed
9c6992dafeae,v1,0,registration started
9c6992dafeae,v1,1,registration completed
38b67f491e68,v1,0,registration started
38b67f491e68,v1,1,registration completed
0720077ff117,v1,0,registration started
0720077ff117,v1,1,registration completed
a2dc998af660,v1,0,registration started
a2dc998af660,v1,1,registration completed
5a525086d92f,v1,0,registration started
5a525086d92f,v1,1,registration completed
c102a05bc7bd,v1,0,registration started
c102a05bc7bd,v1,1,registration completed
7ca5b1d9e37f,v1,0,registration started
7ca5b1d9e37f,v1,1,registration completed
ad2009457cac,v1,0,registration started
ad2009457cac,v1,1,registration completed
ecfe90bb1876,v1,0,registration started
ecfe90bb1876,v1,1,registration completed
6c99e1a0bd00,v1,0,registration started
6c99e1a0bd00,v1,1,registration completed
e685b0c1941c,v1,0,registration started
e685b0c1941c,v1,1,registration completed
